school_name,address,phone,email,source_url
Altiora Seo Mokpo,"24 Gwanhae-ro 5beon-gil, Mokpo-si, Jeollanam-do, South Korea",,,https://www.theworknplay.com/Work/AltioraSeoMokpo
Dream Kids Academy,"DK Building, 22 Gongneung-ro 39-gil, Nowon-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/DreamKidsAcademy
Creverse April Sejong Saerom,"2F, 62-15 Saeromjungang-ro, Sejong-si, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseAprilSejongSaerom
Speaking Proficiency Enhancement Program,"Shinwon B/D, 861, Eonju-ro, Gangnam-gu, Seoul, Korea",,,https://www.theworknplay.com/Work/SpeakingProficiencyEnhancementProgram
English Vine,"134 Wiryeseong-daero, Songpa-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/EnglishVine
LOTIS,"81 Samjeon-ro, Songpa District, Seoul, South Korea",,,https://www.theworknplay.com/Work/LOTIS
Creverse CDI Mokdong,"3F, 233-1 Mokdongdong-ro, Yangcheon-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIMokdong
Worwick Franklin Sejong,"#501 - #506, 5F, South Korea, Sejong-si, Hannuri-daero, 1844",,,https://www.theworknplay.com/Work/WorwickFranklinSejong11
Creverse CDI Busan Junggwan,"561 Jeonggwan-ro, Jeonggwan-eup, Gijang-gun, Busan, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseCDIBusanJunggwan
Poly Anyang,"2F, Jeongjin Building,, 112 Pyeongchon-daero, Dongan-gu, Anyang-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/PolyAnyang
Creverse CDI April Songpa,"2F, 3F, 157 Songi-ro, Songpa-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilSongpa
RISE Mapo,"40-19 Nogosan-dong, Mapo-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/RISEMapo11
DOCS Academy Siheung,"87, Baegot 4-ro, Siheung-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/DOCSAcademySiheung
Embark Recruiting : TheWorknPlay,,,,https://www.theworknplay.com/Work/EmbarkRecruiting
GETnC,"10F, 6-3 Seochojungang-ro 31-gil, Seocho District, Seoul, South Korea",,,https://www.theworknplay.com/Work/GETnC
Creverse CDI April Namyangju Byeollae,"6F, 42 Dumul-ro 11beon-gil, Namyangju-si, Gyeonggi-do, Republic of Korea",,,https://www.theworknplay.com/Work/CreverseCDIAprilNamyangjuByeollae
Poly Goyang Jeongbal,"2F - 5F, Jeongbalsan 1145 Myeongmun Building,, 461, Ilsan-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do, Republic of Korea",,,https://www.theworknplay.com/Work/PolyGoyangJeongbal11
JLS Hanam,"4F, 812 Hanam-daero, Hanam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/JLSHanam1
SLP Incheon Bupyeong,"7F, 633 Gilju-ro, Bupyeong-gu, Incheon, South Korea",,,https://www.theworknplay.com/Work/SLPIncheonBupyeong
